,Region,Year,Basic service,Limited service,Open defecation,Safely managed service,Unimproved
0,Australia and New Zealand,2000,39.38183,0.0,0.0,60.61081,0.007359999999999999
1,Australia and New Zealand,2001,39.25925,0.0,0.0,60.73339,0.007359999999999999
2,Australia and New Zealand,2002,39.13418,0.0,0.0,60.85847,0.00735
3,Australia and New Zealand,2003,39.007909999999995,0.0,0.0,60.98474,0.00735
4,Australia and New Zealand,2004,38.882870000000004,0.0,0.0,61.10978000000001,0.00735
5,Australia and New Zealand,2005,38.054359999999996,0.0,0.0,61.93829,0.00735
6,Australia and New Zealand,2006,37.229690000000005,0.0,0.0,62.76296,0.00735
7,Australia and New Zealand,2007,36.407759999999996,0.0,0.0,63.584880000000005,0.007359999999999999
8,Australia and New Zealand,2008,35.58692,0.0,0.0,64.40571,0.007370000000000001
9,Australia and New Zealand,2009,34.76505,0.0,0.0,65.22757,0.007379999999999999
10,Australia and New Zealand,2010,33.94084,0.0,0.0,66.05176999999999,0.007390000000000001
11,Australia and New Zealand,2011,33.11403,0.0,0.0,66.87858,0.007390000000000001
12,Australia and New Zealand,2012,32.28518,0.0,0.0,67.70742,0.0074
13,Australia and New Zealand,2013,31.454829999999998,0.0,0.0,68.53777,0.0074
14,Australia and New Zealand,2014,30.62375,0.0,0.0,69.36884,0.0074
15,Australia and New Zealand,2015,29.79245,0.0,0.0,70.20013,0.007409999999999999
16,Australia and New Zealand,2017,28.12913,0.0,0.0,71.86345,0.00742
17,Central and Southern Asia,2000,25.451829999999998,5.86227,58.21325,,10.47265
18,Central and Southern Asia,2001,27.4513,6.36669,55.15849,,11.02352
19,Central and Southern Asia,2002,29.524490000000004,6.845039999999999,52.85544,,10.775030000000001
20,Central and Southern Asia,2003,31.606540000000003,7.308339999999999,50.56037,,10.52475
21,Central and Southern Asia,2004,33.69872,7.756410000000001,48.2756,,10.26928
22,Central and Southern Asia,2005,35.80346,8.18561,46.00268,,10.00825
23,Central and Southern Asia,2006,37.911359999999995,8.60635,43.73935,,9.74293
24,Central and Southern Asia,2007,40.027390000000004,9.0138,41.48664,,9.47217
25,Central and Southern Asia,2008,42.1503,9.40939,39.24176,,9.19856
26,Central and Southern Asia,2009,44.2797,9.79266,37.00229,,8.92535
27,Central and Southern Asia,2010,46.41389,10.164860000000001,34.76668,,8.65457
28,Central and Southern Asia,2011,48.55168,10.52634,32.53521,,8.38676
29,Central and Southern Asia,2012,50.69313,10.878160000000001,30.307809999999996,,8.1209
30,Central and Southern Asia,2013,52.83321,11.220460000000001,28.08742,,7.8589
31,Central and Southern Asia,2014,54.96775,11.55374,25.87855,,7.59996
32,Central and Southern Asia,2015,57.09958,11.87823,23.683329999999998,,7.33886
33,Central and Southern Asia,2017,61.399319999999996,12.45909,19.710829999999998,,6.43076
34,Eastern and South-Eastern Asia,2000,28.9217,4.63168,7.23603,31.6236,27.58698
35,Eastern and South-Eastern Asia,2001,29.197490000000002,4.76759,7.013669999999999,32.03996,26.9813
36,Eastern and South-Eastern Asia,2002,30.38942,4.95753,6.67161,32.48645,25.494989999999998
37,Eastern and South-Eastern Asia,2003,30.44705,5.1243099999999995,6.3430599999999995,33.97424,24.11134
38,Eastern and South-Eastern Asia,2004,30.34873,5.28862,6.01764,35.594120000000004,22.75089
39,Eastern and South-Eastern Asia,2005,30.11451,5.447080000000001,5.69608,37.327740000000006,21.4146
40,Eastern and South-Eastern Asia,2006,29.92912,5.60128,5.37716,38.98084,20.1116
41,Eastern and South-Eastern Asia,2007,29.462979999999998,5.72199,5.06029,40.92075,18.83399
42,Eastern and South-Eastern Asia,2008,28.91153,5.837940000000001,4.74659,42.92491,17.57903
43,Eastern and South-Eastern Asia,2009,28.27188,5.94895,4.43591,44.995870000000004,16.34739
44,Eastern and South-Eastern Asia,2010,27.550490000000003,6.0547699999999995,4.12915,47.12727,15.138320000000002
45,Eastern and South-Eastern Asia,2011,26.74705,6.15404,3.8275099999999997,49.309059999999995,13.96234
46,Eastern and South-Eastern Asia,2012,25.87591,6.2476,3.5311,51.534040000000005,12.81135
47,Eastern and South-Eastern Asia,2013,24.96411,6.27787,3.2322900000000003,53.836859999999994,11.68887
48,Eastern and South-Eastern Asia,2014,23.99742,6.30196,2.94523,56.17451,10.58088
49,Eastern and South-Eastern Asia,2015,22.97704,6.31985,2.6614400000000002,58.544259999999994,9.49741
50,Eastern and South-Eastern Asia,2017,20.53332,6.3438,2.1758599999999997,63.61769,7.329330000000001
51,Europe and Northern America,2000,26.1515,0.82981,0.03549,69.40073000000001,3.58247
52,Europe and Northern America,2001,26.15479,0.7983100000000001,0.03413,69.3378,3.6749699999999996
53,Europe and Northern America,2002,26.646209999999996,0.79556,0.033,68.9737,3.5515199999999996
54,Europe and Northern America,2003,26.405690000000003,0.79313,0.031869999999999996,69.34218,3.4271300000000005
55,Europe and Northern America,2004,26.11351,0.7854899999999999,0.03071,69.7657,3.3046
56,Europe and Northern America,2005,25.82658,0.7716,0.02482,70.18835,3.18865
57,Europe and Northern America,2006,24.3032,0.72023,0.00688,71.89458,3.07511
58,Europe and Northern America,2007,24.06829,0.70924,0.00634,72.27045,2.94568
59,Europe and Northern America,2008,23.83599,0.69844,0.0047799999999999995,72.64067,2.82012
60,Europe and Northern America,2009,23.50575,0.68771,0.004,73.10536,2.69718
61,Europe and Northern America,2010,23.184639999999998,0.67738,0.0038200000000000005,73.55688,2.57728
62,Europe and Northern America,2011,22.869670000000003,0.6672100000000001,0.0037799999999999995,73.99873000000001,2.46061
63,Europe and Northern America,2012,22.58614,0.6572,0.0038399999999999997,74.40585,2.3469700000000002
64,Europe and Northern America,2013,22.30968,0.64794,0.0039299999999999995,74.80305,2.2354
65,Europe and Northern America,2014,22.04786,0.6397,0.0033399999999999997,75.18597,2.1231400000000002
66,Europe and Northern America,2015,21.78195,0.63661,0.00336,75.55994,2.0181299999999998
67,Europe and Northern America,2017,21.30961,0.63413,0.00337,76.2336,1.81928
68,Latin America and the Caribbean,2000,61.95338,5.27993,9.765239999999999,11.53012,11.47133
69,Latin America and the Caribbean,2001,62.474940000000004,5.25593,9.257589999999999,11.869069999999999,11.14246
70,Latin America and the Caribbean,2002,62.953140000000005,5.24519,8.770669999999999,12.20927,10.82173
71,Latin America and the Caribbean,2003,63.06486999999999,5.237369999999999,8.28495,12.91125,10.501560000000001
72,Latin America and the Caribbean,2004,63.0844,5.22501,7.81716,13.700270000000002,10.173160000000001
73,Latin America and the Caribbean,2005,63.575019999999995,5.00974,7.454619999999999,14.59479,9.36583
74,Latin America and the Caribbean,2006,63.557809999999996,4.98752,6.8858,15.40965,9.15922
75,Latin America and the Caribbean,2007,63.0957,4.95456,6.44831,16.67598,8.82545
76,Latin America and the Caribbean,2008,62.591719999999995,4.91986,6.018330000000001,17.978820000000002,8.49127
77,Latin America and the Caribbean,2009,62.04512,4.88197,5.59508,19.32,8.15783
78,Latin America and the Caribbean,2010,61.43789,4.84202,5.17633,20.70116,7.8425899999999995
79,Latin America and the Caribbean,2011,60.78674,4.80007,4.76293,22.12285,7.5274
80,Latin America and the Caribbean,2012,60.091190000000005,4.75609,4.35544,23.584629999999997,7.2126600000000005
81,Latin America and the Caribbean,2013,59.342369999999995,4.709969999999999,3.95391,25.08607,6.90768
82,Latin America and the Caribbean,2014,58.51752,4.66219,3.55033,26.62906,6.640910000000001
83,Latin America and the Caribbean,2015,57.648630000000004,4.61161,3.18844,28.212590000000002,6.3387199999999995
84,Latin America and the Caribbean,2017,55.858869999999996,4.52564,2.42171,31.31875,5.87504
85,Northern Africa and Western Asia,2000,51.391259999999996,5.069030000000001,9.05225,26.24922,8.23824
86,Northern Africa and Western Asia,2001,51.21132,5.0785599999999995,8.8634,26.66913,8.177589999999999
87,Northern Africa and Western Asia,2002,51.32294,5.0231,8.670110000000001,27.029559999999996,7.954280000000001
88,Northern Africa and Western Asia,2003,51.20288,4.96945,8.45014,27.70038,7.67715
89,Northern Africa and Western Asia,2004,51.068529999999996,4.90677,8.22718,28.40212,7.3954
90,Northern Africa and Western Asia,2005,51.018209999999996,4.8022800000000005,7.814139999999999,29.184620000000002,7.18075
91,Northern Africa and Western Asia,2006,50.97227,4.69444,7.39261,29.979020000000002,6.96166
92,Northern Africa and Western Asia,2007,50.91625,4.57779,6.97014,30.79676,6.73906
93,Northern Africa and Western Asia,2008,50.85521,4.45951,6.54473,31.61611,6.52444
94,Northern Africa and Western Asia,2009,50.78969,4.3403599999999996,6.1314400000000004,32.42634,6.31217
95,Northern Africa and Western Asia,2010,50.7491,4.22014,5.72659,33.19482,6.10934
96,Northern Africa and Western Asia,2011,50.75788,4.09774,5.30521,33.89695,5.94222
97,Northern Africa and Western Asia,2012,50.79444,3.9714400000000003,4.91879,34.56212,5.75321
98,Northern Africa and Western Asia,2013,50.84507,3.8404199999999995,4.54504,35.20662,5.56285
99,Northern Africa and Western Asia,2014,50.85388,3.76419,4.25274,35.82972,5.29946
100,Northern Africa and Western Asia,2015,50.73981,3.6929800000000004,3.96769,36.4763,5.12322
101,Northern Africa and Western Asia,2017,50.216159999999995,3.52984,3.8563300000000003,37.54103,4.8566400000000005
102,Oceania,2000,37.517759999999996,4.18574,12.85034,,45.44616
103,Oceania,2001,37.45459,4.16943,12.846739999999999,,45.52924
104,Oceania,2002,37.28334,4.1702,12.87557,,45.67089
105,Oceania,2003,37.209990000000005,4.17697,12.89429,,45.718740000000004
106,Oceania,2004,37.1323,4.1824900000000005,12.91088,,45.77434
107,Oceania,2005,36.628890000000006,4.1553,12.99146,,46.224340000000005
108,Oceania,2006,36.13006,4.1265,13.07002,,46.67341
109,Oceania,2007,35.635059999999996,4.0963199999999995,13.11731,,47.151309999999995
110,Oceania,2008,35.14062,4.06905,13.19015,,47.60018
111,Oceania,2009,34.64867,4.04132,13.26133,,48.04868
112,Oceania,2010,34.15583,4.01524,13.33165,,48.497279999999996
113,Oceania,2011,33.66098,3.9914400000000003,13.40144,,48.94614
114,Oceania,2012,33.16619,3.97002,13.470310000000001,,49.39348
115,Oceania,2013,32.673770000000005,3.9507,13.534320000000001,,49.8412
116,Oceania,2014,32.18595,3.9327,13.59736,,50.28399
117,Oceania,2015,31.703459999999996,3.9153,13.65205,,50.72919
118,Oceania,2017,30.302809999999997,3.93381,13.938670000000002,,51.824709999999996
119,Sub-Saharan Africa,2000,8.18178,15.0989,32.48551,14.849079999999999,29.38472
120,Sub-Saharan Africa,2001,8.30128,15.30034,31.75719,15.131470000000002,29.509729999999998
121,Sub-Saharan Africa,2002,8.401539999999999,15.45734,31.013140000000003,15.452539999999999,29.675440000000002
122,Sub-Saharan Africa,2003,8.607280000000001,15.61863,30.26445,15.66514,29.8445
123,Sub-Saharan Africa,2004,8.80975,15.79928,29.511409999999998,15.86692,30.01264
124,Sub-Saharan Africa,2005,9.020589999999999,15.97216,28.75165,16.0783,30.17731
125,Sub-Saharan Africa,2006,9.23245,16.131320000000002,27.99292,16.30415,30.339170000000003
126,Sub-Saharan Africa,2007,9.43745,16.28289,27.262490000000003,16.52257,30.4946
127,Sub-Saharan Africa,2008,9.66997,16.448729999999998,26.477829999999997,16.761770000000002,30.641709999999996
128,Sub-Saharan Africa,2009,9.92335,16.62424,25.70209,16.96998,30.78033
129,Sub-Saharan Africa,2010,10.18027,16.80163,24.92901,17.18347,30.90563
130,Sub-Saharan Africa,2011,10.41413,16.93069,24.69163,17.270129999999998,30.693409999999997
131,Sub-Saharan Africa,2012,10.702110000000001,17.107789999999998,23.93816,17.46509,30.78685
132,Sub-Saharan Africa,2013,10.9971,17.28305,23.1908,17.65571,30.87333
133,Sub-Saharan Africa,2014,11.298060000000001,17.45986,22.44661,17.8451,30.95037
134,Sub-Saharan Africa,2015,11.60346,17.64066,21.70552,18.03221,31.018140000000002
135,Sub-Saharan Africa,2017,12.256039999999999,18.07827,19.97072,18.445320000000002,31.24965
